"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2018","140.86","139.45","140.86","139.14","1.44M","1.55%"
"02/22/2018","138.71","139.19","140.09","138.38","2.11M","0.06%"
"02/21/2018","138.62","139.45","140.96","138.61","2.18M","-0.47%"
"02/20/2018","139.27","139.56","140.44","138.82","2.49M","-0.60%"
"02/16/2018","140.11","139.68","141.23","139.67","2.81M","0.04%"
"02/15/2018","140.05","139.33","140.05","137.95","2.85M","1.22%"
"02/14/2018","138.36","135.62","138.55","135.57","3.08M","1.40%"
"02/13/2018","136.45","135.34","136.70","135.01","2.97M","0.32%"
"02/12/2018","136.02","135.35","136.85","134.23","4.25M","1.33%"
"02/09/2018","134.23","133.90","135.21","129.84","9.47M","1.37%"
"02/08/2018","132.41","137.53","137.80","132.35","7.68M","-3.60%"
"02/07/2018","137.35","137.83","139.56","137.35","6.18M","-0.44%"
"02/06/2018","137.96","133.26","138.24","132.50","10.79M","1.64%"
"02/05/2018","135.74","140.21","141.40","135.15","10.36M","-3.93%"
"02/02/2018","141.30","143.51","143.68","141.24","5.32M","-2.13%"
"02/01/2018","144.37","143.98","145.02","143.84","2.92M","-0.04%"
"01/31/2018","144.43","144.94","145.24","143.79","4.67M","0.03%"
"01/30/2018","144.38","144.74","145.15","144.15","4.90M","-1.04%"
"01/29/2018","145.90","146.58","146.82","145.82","2.69M","-0.65%"
"01/26/2018","146.86","145.82","146.87","145.63","2.00M","1.05%"
"01/25/2018","145.34","145.84","145.84","144.87","4.23M","0.04%"
"01/24/2018","145.28","145.85","146.11","144.63","3.41M","-0.10%"
"01/23/2018","145.42","145.10","145.57","144.92","2.26M","0.25%"
"01/22/2018","145.06","143.84","145.06","143.84","2.85M","0.79%"
"01/19/2018","143.92","143.49","143.93","143.19","2.12M","0.52%"
"01/18/2018","143.18","143.42","143.58","142.90","2.71M","-0.17%"
"01/17/2018","143.43","142.72","143.64","142.25","2.76M","0.92%"
"01/16/2018","142.12","143.53","143.82","141.71","3.97M","-0.44%"
"01/12/2018","142.75","142.08","142.85","142.00","2.66M","0.58%"
"01/11/2018","141.92","141.00","141.92","140.97","2.19M","0.85%"
"01/10/2018","140.73","140.57","140.85","140.07","2.01M","-0.16%"
"01/09/2018","140.95","140.92","141.31","140.71","2.63M","0.18%"
"01/08/2018","140.69","140.31","140.77","140.10","2.66M","0.23%"
"01/05/2018","140.37","140.02","140.44","139.72","2.19M","0.59%"
"01/04/2018","139.55","139.42","139.81","139.35","2.57M","0.38%"
"01/03/2018","139.02","138.39","139.10","138.30","3.05M","0.58%"
"01/02/2018","138.22","137.75","138.22","137.44","3.70M","0.71%"
"12/29/2017","137.25","138.08","138.10","137.15","2.26M","-0.37%"
"12/28/2017","137.76","137.79","137.81","137.51","2.94M","0.22%"
"12/27/2017","137.46","137.58","137.72","137.34","2.24M","0.04%"
"12/26/2017","137.41","137.34","137.52","137.29","2.05M","-0.08%"
"12/22/2017","137.52","137.64","137.86","137.19","1.93M","-0.04%"
"12/21/2017","137.57","137.62","137.93","137.39","2.11M","-0.26%"
"12/20/2017","137.93","138.50","138.55","137.68","2.52M","-0.01%"
"12/19/2017","137.94","138.72","138.72","137.90","3.64M","-0.40%"
"12/18/2017","138.50","138.26","138.68","138.26","2.70M","0.69%"
"12/15/2017","137.55","136.95","137.83","136.87","2.29M","0.89%"
"12/14/2017","136.33","137.22","137.24","136.27","1.86M","-0.47%"
"12/13/2017","136.97","137.03","137.43","136.91","1.86M","0.01%"
"12/12/2017","136.95","136.98","137.25","136.81","1.52M","0.11%"
"12/11/2017","136.80","136.50","136.83","136.48","1.93M","0.23%"
"12/08/2017","136.48","136.27","136.52","136.07","1.50M","0.52%"
"12/07/2017","135.77","135.14","135.94","135.08","1.54M","0.40%"
"12/06/2017","135.23","135.11","135.46","135.00","2.84M","-0.06%"
"12/05/2017","135.31","136.09","136.33","135.23","2.58M","-0.43%"
"12/04/2017","135.89","137.04","137.38","135.88","3.12M","-0.13%"
"12/01/2017","136.07","136.28","136.50","134.04","3.59M","-0.20%"
"11/30/2017","136.34","135.88","136.92","135.78","2.85M","0.77%"
"11/29/2017","135.30","135.46","135.79","135.02","2.07M","0.00%"
"11/28/2017","135.30","134.25","135.36","134.14","2.92M","0.99%"
"11/27/2017","133.97","134.12","134.29","133.87","1.75M","-0.10%"
"11/24/2017","134.11","134.08","134.13","133.98","670.55K","0.23%"
"11/22/2017","133.80","133.94","134.00","133.69","1.30M","-0.07%"
"11/21/2017","133.90","133.44","133.94","133.41","1.96M","0.69%"
"11/20/2017","132.98","132.82","133.05","132.68","1.81M","0.26%"
"11/17/2017","132.64","132.64","132.91","132.61","4.85M","-0.19%"
"11/16/2017","132.89","132.11","133.10","132.11","1.73M","0.91%"
"11/15/2017","131.69","131.79","132.08","131.21","1.77M","-0.51%"
"11/14/2017","132.37","132.22","132.42","131.79","3.78M","-0.18%"
"11/13/2017","132.61","132.11","132.75","132.08","1.88M","0.05%"
"11/10/2017","132.54","132.24","132.63","132.17","2.04M","0.02%"
"11/09/2017","132.52","132.38","132.74","131.62","4.32M","-0.41%"
"11/08/2017","133.06","132.73","133.12","132.55","1.27M","0.17%"
"11/07/2017","132.84","133.16","133.33","132.53","2.53M","-0.17%"
"11/06/2017","133.07","132.77","133.16","132.75","2.02M","0.19%"
"11/03/2017","132.82","132.54","132.88","132.28","2.68M","0.26%"
"11/02/2017","132.47","132.34","132.53","131.82","5.10M","0.02%"
"11/01/2017","132.44","132.83","133.03","132.17","2.28M","0.08%"
"10/31/2017","132.33","132.27","132.50","132.12","2.38M","0.20%"
"10/30/2017","132.06","132.42","132.54","131.90","1.69M","-0.44%"
"10/27/2017","132.64","131.94","132.67","131.76","2.67M","0.81%"
"10/26/2017","131.57","131.72","132.01","131.49","5.40M","0.13%"
"10/25/2017","131.40","131.91","131.95","130.69","2.19M","-0.52%"
"10/24/2017","132.09","132.16","132.23","131.89","1.57M","0.17%"
"10/23/2017","131.86","132.63","132.68","131.79","1.76M","-0.42%"
"10/20/2017","132.42","132.07","132.45","132.07","1.75M","0.54%"
"10/19/2017","131.71","131.25","131.71","130.94","1.94M","0.02%"
"10/18/2017","131.68","131.80","131.83","131.57","1.47M","0.13%"
"10/17/2017","131.51","131.50","131.57","131.34","1.34M","0.05%"
"10/16/2017","131.45","131.50","131.65","131.27","1.79M","0.07%"
"10/13/2017","131.36","131.55","131.59","131.28","1.54M","0.08%"
"10/12/2017","131.26","131.16","131.45","131.12","2.17M","-0.12%"
"10/11/2017","131.42","131.24","131.43","131.10","2.01M","0.14%"
"10/10/2017","131.24","131.25","131.48","130.94","2.92M","0.24%"
"10/09/2017","130.93","131.30","131.36","130.76","1.01M","-0.20%"
"10/06/2017","131.19","131.06","131.23","130.91","1.64M","-0.07%"
"10/05/2017","131.28","130.73","131.34","130.72","2.39M","0.53%"
"10/04/2017","130.59","130.45","130.78","130.30","1.50M","0.10%"
"10/03/2017","130.46","130.31","130.50","130.13","1.83M","0.20%"
"10/02/2017","130.20","129.64","130.20","129.55","2.68M","0.53%"
"09/29/2017","129.52","129.02","129.56","129.01","1.72M","0.33%"
"09/28/2017","129.10","128.82","129.13","128.66","1.48M","0.16%"
"09/27/2017","128.89","128.84","129.10","128.17","2.37M","0.55%"
"09/26/2017","128.19","128.35","128.51","128.11","1.85M","0.02%"
"09/25/2017","128.16","128.24","128.43","127.69","2.19M","-0.16%"
"09/22/2017","128.37","128.14","128.44","127.99","1.60M","-0.35%"
"09/21/2017","128.82","129.12","129.13","128.72","1.73M","-0.28%"
"09/20/2017","129.18","129.10","129.21","128.60","1.73M","0.16%"
"09/19/2017","128.97","129.06","129.10","128.85","1.24M","0.05%"
"09/18/2017","128.91","128.85","129.10","128.69","1.79M","0.24%"
"09/15/2017","128.60","128.31","128.62","128.20","1.53M","0.19%"
"09/14/2017","128.36","128.23","128.48","128.07","1.49M","-0.03%"
"09/13/2017","128.40","128.23","128.41","128.12","1.69M","0.05%"
